text,label
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"Hair Weave Killer
Daniel Son, the Necklace Don
Chapo Jr
I mean, I can go on for days
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"I grew up in the streets without no heart
I grew up in the streets without no heart
{Outro}
So much dope that it broke the scale
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Slaughter Gang *****t, Murder Gang *****t
I'm on that Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
Slaughter Gang *****t, Murder Gang *****t
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Fall asleep, wake up still I'm faded
Bubba prolly lost 50 K in vegas
Pour up purple and then make it turn pinkish
Said that I was done with it but I'm still drinkin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"Bitch, I'm drownin'
I'm drownin'
Drownin'
I'm drownin'
",2
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"All you Black folks, you must go
All you Mexicans, you must go
And all you poor folks, you must go
Muslims and gays
",1
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"to tell you
I'm sorry, for breaking your heart
But it don't matter
it clearly doesn't tear you apart anymore
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"Say it ain't so, say it ain't so
Say it ain't so, say it ain't so
Say that our love ain't water under the bridge
Say that our love ain't water under the bridge
",0
"And like berries on the vine
It gets sweeter all the time
We're in this love together
We got the kind that lasts forever
",3
